id;start_date;end_date;language
1;2019-05-24T05:13:44;2019-05-23T22:22:01;FRENCH
2;2019-05-24T06:43:49;2019-05-23T15:49:59;FRENCH
3;2019-05-24T02:15:54;2019-05-23T17:39:54;FRENCH
4;2019-05-23T15:27:45;2019-05-23T22:54:47;FRENCH
5;2019-05-24T00:26:24;2019-05-24T05:10:33;FRENCH
6;2019-05-24T06:43:25;2019-05-24T08:00:21;FRENCH
7;2019-05-23T16:05:44;2019-05-24T04:46:31;FRENCH
8;2019-05-23T13:37:03;2019-05-23T21:37:12;FRENCH
9;2019-05-23T23:25:09;2019-05-24T07:49:47;FRENCH
10;2019-05-24T02:43:19;2019-05-23T23:59:34;FRENCH
